Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,1,Miami Dolphins,1,1,0,Kickoff from BAL 35,,Kickoff,— T.Loop kicks 47 yards from BAL 35 to MIA 18. D.Eskridge pushed ob at MIA 43 for 25 yards (T.Wallace).
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,1,Miami Dolphins,1,2,0,20 Yard Pass,1st & 10 at MIA 43,14:56 1st Shotgun,— D.Brunskill reported in as eligible. T.Tagovailoa pass short middle to J.Waddle to BAL 37 for 20 yards (A.Gilman).
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,1,Miami Dolphins,1,3,0,-1 Yard Run,1st & 10 at BAL 37,14:15 1st Shotgun,— D.Brunskill reported in as eligible. D.Achane right tackle to BAL 38 for -1 yards (K.Van Noy).
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,1,Miami Dolphins,1,4,0,5 Yard Pass,2nd & 11 at BAL 38,13:34 1st,— D.Brunskill reported in as eligible. T.Tagovailoa pass short left to D.Achane to BAL 33 for 5 yards (M.Starks).
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,1,Miami Dolphins,1,5,0,Timeout,,12:51 1st,— Timeout #1 by MIA at 12:51.
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,1,Miami Dolphins,1,6,0,2 Yard Run,3rd & 6 at BAL 33,12:51 1st Shotgun,— D.Achane right end to BAL 31 for 2 yards (M.Starks).
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,1,Miami Dolphins,1,7,1,Field Goal,4th & 4 at BAL 31,12:11 1st,"— R.Patterson 49 yard field goal is GOOD, Center-J.Cardona, Holder-J.Bailey."
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,2,Baltimore Ravens,0,1,0,Kickoff from MIA 35,,Kickoff,— R.Patterson kicks 62 yards from MIA 35 to BAL 3. R.Ali to BAL 33 for 30 yards (D.Trader).
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,2,Baltimore Ravens,0,2,0,0 Yard Run,1st & 10 at BAL 33,12:01 1st,— D.Henry up the middle to BAL 33 for no gain (T.Dodson; J.Brooks).
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,2,Baltimore Ravens,0,3,0,7 Yard Pass,2nd & 10 at BAL 33,11:19 1st Shotgun,— L.Jackson pass short left to Z.Flowers to BAL 40 for 7 yards (R.Douglas; J.Brooks).
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,2,Baltimore Ravens,0,4,0,Pass Incomplete,3rd & 3 at BAL 40,10:41 1st Shotgun,— L.Jackson pass incomplete short left to R.Bateman.
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,2,Baltimore Ravens,0,5,0,Punt,4th & 3 at BAL 40,10:37 1st,"— J.Stout punts 56 yards to MIA 4, Center-N.Moore, downed by BAL-K.Jackson."
2025,Week 9,THU,10/30,Ravens,Dolphins,1st Quarter,3,Miami Dolphins,0,1,0,3 Yard Run,1st & 10 at MIA 4,10:25 1st Shotgun,— O.Gordon up the middle to MIA 7 for 3 yards (T.Buchanan).
